#compiler;opt;program;seed;length;work;energy(J);time(s)
clang++;-O2;bitset;46;512;h;59.24;1.944768370
clang++;-O2;bitset;47;512;h;58.77;1.938595152
clang++;-O2;bitset;48;512;h;59.49;1.938173854
clang++;-O2;bitset;49;512;h;59.37;1.934463199
clang++;-O2;bitset;50;512;h;59.02;1.925621114
clang++;-O2;bitset;51;512;h;59.73;1.946147166
clang++;-O2;bitset;52;512;h;58.76;1.922169654
clang++;-O2;bitset;53;512;h;59.75;1.950213807
clang++;-O2;bitset;54;512;h;59.08;1.938363168
clang++;-O2;bitset;55;512;h;58.78;1.918628045
clang++;-O2;bitset;56;512;h;59.53;1.938297575
clang++;-O2;bitset;57;512;h;59.82;1.947310641
clang++;-O2;bitset;58;512;h;60.20;1.922834226
clang++;-O2;bitset;59;512;h;60.38;1.946737129
clang++;-O2;bitset;60;512;h;59.25;1.945544800
clang++;-O2;bitset;61;512;h;59.86;1.947961237
clang++;-O2;bitset;62;512;h;59.22;1.932033018
clang++;-O2;bitset;63;512;h;59.07;1.942424690
clang++;-O2;bitset;64;512;h;59.40;1.933183257
clang++;-O2;bitset;65;512;h;59.10;1.939337138
clang++;-O2;bitset;66;512;h;60.27;1.940518296
clang++;-O2;bitset;67;512;h;59.60;1.931338901
clang++;-O2;bitset;68;512;h;59.15;1.923379575
clang++;-O2;bitset;69;512;h;59.47;1.933263557
clang++;-O2;bitset;70;512;h;58.74;1.937035878
clang++;-O2;bitset;71;512;h;59.24;1.945039827
clang++;-O2;bitset;72;512;h;58.84;1.919178744
clang++;-O2;bitset;73;512;h;58.96;1.919426938
clang++;-O2;bitset;74;512;h;59.21;1.944047482
clang++;-O2;bitset;75;512;h;59.02;1.940797228
clang++;-O2;bitset;76;512;h;59.09;1.929016641
clang++;-O2;bitset;77;512;h;59.02;1.922296871
clang++;-O2;bitset;78;512;h;59.19;1.949074146
clang++;-O2;bitset;79;512;h;59.24;1.930507317
clang++;-O2;bitset;80;512;h;59.84;1.948663038
clang++;-O2;bitset;81;512;h;59.26;1.936725789
clang++;-O2;bitset;82;512;h;58.90;1.948566869
clang++;-O2;bitset;83;512;h;59.33;1.936034427
clang++;-O2;bitset;84;512;h;59.27;1.944370415
clang++;-O2;bitset;85;512;h;59.36;1.952429116
clang++;-O2;bitset;86;512;h;59.65;1.949485986
clang++;-O2;bitset;87;512;h;59.04;1.925861994
clang++;-O2;bitset;88;512;h;59.08;1.942646805
clang++;-O2;bitset;89;512;h;59.59;1.938177221
clang++;-O2;bitset;90;512;h;59.22;1.954735026
clang++;-O2;bitset;91;512;h;60.88;1.943305305
clang++;-O2;bitset;92;512;h;59.65;1.936636912
clang++;-O2;bitset;93;512;h;58.78;1.925570199
clang++;-O2;bitset;94;512;h;60.17;1.943295737
clang++;-O2;bitset;95;512;h;59.44;1.956376624
clang++;-O2;bitset;96;512;h;59.03;1.948940366
clang++;-O2;bitset;97;512;h;59.40;1.926059233
clang++;-O2;bitset;98;512;h;59.45;1.946699648
clang++;-O2;bitset;99;512;h;59.56;1.955408725
clang++;-O2;bitset;00;512;i;46.76;1.529537038
clang++;-O2;bitset;01;512;i;46.46;1.544189953
clang++;-O2;bitset;02;512;i;46.51;1.525245277
clang++;-O2;bitset;03;512;i;46.50;1.527101897
clang++;-O2;bitset;04;512;i;46.38;1.523726960
clang++;-O2;bitset;05;512;i;46.45;1.541241574
clang++;-O2;bitset;06;512;i;46.84;1.533558324
clang++;-O2;bitset;07;512;i;47.11;1.537946996
clang++;-O2;bitset;08;512;i;46.41;1.536715294
clang++;-O2;bitset;09;512;i;46.97;1.537858731
clang++;-O2;bitset;10;512;i;46.81;1.537550685
clang++;-O2;bitset;11;512;i;46.69;1.540434916
clang++;-O2;bitset;12;512;i;46.45;1.544496828
clang++;-O2;bitset;13;512;i;46.49;1.541440956
clang++;-O2;bitset;14;512;i;46.79;1.528857809
clang++;-O2;bitset;15;512;i;46.51;1.544943431
clang++;-O2;bitset;16;512;i;46.40;1.541199995
clang++;-O2;bitset;17;512;i;46.61;1.525137986
clang++;-O2;bitset;18;512;i;46.37;1.541133862
clang++;-O2;bitset;19;512;i;46.31;1.541545411
clang++;-O2;bitset;20;512;i;46.37;1.541178937
clang++;-O2;bitset;21;512;i;46.39;1.541401913
clang++;-O2;bitset;22;512;i;46.25;1.539316275
clang++;-O2;bitset;23;512;i;48.02;1.538501823
clang++;-O2;bitset;24;512;i;46.51;1.541350788
clang++;-O2;bitset;25;512;i;46.46;1.545026196
clang++;-O2;bitset;26;512;i;46.42;1.541373049
clang++;-O2;bitset;27;512;i;46.38;1.541711252
clang++;-O2;bitset;28;512;i;46.42;1.530778458
clang++;-O2;bitset;29;512;i;46.35;1.523167514
clang++;-O2;bitset;30;512;i;46.67;1.532791020
clang++;-O2;bitset;31;512;i;46.58;1.531390653
clang++;-O2;bitset;32;512;i;46.45;1.540973322
clang++;-O2;bitset;33;512;i;48.01;1.528134276
clang++;-O2;bitset;34;512;i;46.64;1.539050628
clang++;-O2;bitset;35;512;i;46.71;1.544397581
clang++;-O2;bitset;36;512;i;46.45;1.541425758
clang++;-O2;bitset;37;512;i;46.48;1.527792228
clang++;-O2;bitset;38;512;i;46.66;1.535527915
clang++;-O2;bitset;39;512;i;46.70;1.529225426
clang++;-O2;bitset;40;512;i;46.70;1.537647557
clang++;-O2;bitset;41;512;i;46.36;1.536563169
clang++;-O2;bitset;42;512;i;46.44;1.544851250
clang++;-O2;bitset;43;512;i;46.48;1.545084155
clang++;-O2;bitset;44;512;i;46.33;1.523529290
clang++;-O2;bitset;45;512;i;46.57;1.527569070
clang++;-O2;bitset;46;512;i;46.74;1.525102049
clang++;-O2;bitset;47;512;i;46.45;1.544375881
clang++;-O2;bitset;48;512;i;46.41;1.544474736
clang++;-O2;bitset;49;512;i;46.41;1.525638452
clang++;-O2;bitset;50;512;i;46.49;1.544363428
clang++;-O2;bitset;51;512;i;46.44;1.544791969
clang++;-O2;bitset;52;512;i;46.46;1.541082326
clang++;-O2;bitset;53;512;i;46.48;1.527931036
clang++;-O2;bitset;54;512;i;46.20;1.544821814
clang++;-O2;bitset;55;512;i;46.38;1.541489527
clang++;-O2;bitset;56;512;i;46.80;1.525530179
clang++;-O2;bitset;57;512;i;46.44;1.541126709
clang++;-O2;bitset;58;512;i;46.21;1.539442081
clang++;-O2;bitset;59;512;i;46.41;1.526704013
clang++;-O2;bitset;60;512;i;46.63;1.560025819
clang++;-O2;bitset;61;512;i;46.49;1.544359461
clang++;-O2;bitset;62;512;i;46.38;1.523851302
clang++;-O2;bitset;63;512;i;46.47;1.527265242
clang++;-O2;bitset;64;512;i;46.54;1.544936128
clang++;-O2;bitset;65;512;i;46.47;1.545002362
clang++;-O2;bitset;66;512;i;46.67;1.529618551
clang++;-O2;bitset;67;512;i;46.43;1.544724312
clang++;-O2;bitset;68;512;i;46.60;1.525347018
clang++;-O2;bitset;69;512;i;46.63;1.524805165
clang++;-O2;bitset;70;512;i;46.73;1.534555778
clang++;-O2;bitset;71;512;i;46.16;1.544817327
clang++;-O2;bitset;72;512;i;46.41;1.544083213
clang++;-O2;bitset;73;512;i;46.82;1.537539033
clang++;-O2;bitset;74;512;i;46.37;1.527352245
clang++;-O2;bitset;75;512;i;46.42;1.541251542
