#program;length;compiler;opt;energy(J);time(s);seed
bvector;512;clang++;-O2;46.74;1.542805273;60
bvector;512;clang++;-O2;46.29;1.525989144;61
bvector;512;clang++;-O2;46.48;1.530877217;62
bvector;512;clang++;-O2;46.50;1.530490054;63
bvector;512;clang++;-O2;45.86;1.535955205;64
bvector;512;clang++;-O2;45.94;1.526271061;65
bvector;512;clang++;-O2;46.71;1.534181410;66
bvector;512;clang++;-O2;46.50;1.524829137;67
bvector;512;clang++;-O2;46.27;1.525911569;68
bvector;512;clang++;-O2;46.32;1.530708592;69
bvector;512;clang++;-O2;46.69;1.536016349;70
bvector;512;clang++;-O2;46.37;1.524918905;71
bvector;512;clang++;-O2;46.34;1.530941197;72
bvector;512;clang++;-O2;46.67;1.534083098;73
bvector;512;clang++;-O2;46.87;1.532392588;74
bvector;512;clang++;-O2;46.56;1.530149477;75
bvector;512;clang++;-O2;46.35;1.529274974;76
bvector;512;clang++;-O2;46.59;1.532248289;77
bvector;512;clang++;-O2;46.70;1.534771834;78
bvector;512;clang++;-O2;46.67;1.532276722;79
bvector;512;clang++;-O2;46.25;1.540027093;80
bvector;512;clang++;-O2;46.42;1.524734640;81
bvector;512;clang++;-O2;46.17;1.539230855;82
bvector;512;clang++;-O2;46.17;1.539580819;83
bvector;512;clang++;-O2;46.39;1.539667921;84
bvector;512;clang++;-O2;46.01;1.524315387;85
bvector;512;clang++;-O2;46.11;1.526145927;86
bvector;512;clang++;-O2;46.13;1.537123697;87
bvector;512;clang++;-O2;46.43;1.529486659;88
bvector;512;clang++;-O2;46.76;1.536099615;89
bvector;512;clang++;-O2;46.31;1.524995178;90
bvector;512;clang++;-O2;46.39;1.528792342;91
bvector;512;clang++;-O2;46.58;1.530526812;92
bvector;512;clang++;-O2;46.08;1.527086404;93
bvector;512;clang++;-O2;46.06;1.538861474;94
bvector;512;clang++;-O2;46.50;1.543845015;95
bvector;512;clang++;-O2;46.62;1.533592069;96
bvector;512;clang++;-O2;46.61;1.529611161;97
bvector;512;clang++;-O2;46.74;1.532691497;98
bvector;512;clang++;-O2;46.81;1.537274129;99
bvector;1024;clang++;-O2;92.71;3.051737499;00
bvector;1024;clang++;-O2;93.46;3.070867592;01
bvector;1024;clang++;-O2;92.52;3.078456600;02
bvector;1024;clang++;-O2;92.54;3.084876545;03
bvector;1024;clang++;-O2;92.38;3.084166198;04
bvector;1024;clang++;-O2;94.09;3.030605377;05
bvector;1024;clang++;-O2;92.01;3.082134421;06
bvector;1024;clang++;-O2;92.69;3.054458863;07
bvector;1024;clang++;-O2;92.55;3.080499116;08
bvector;1024;clang++;-O2;92.63;3.084995537;09
bvector;1024;clang++;-O2;92.12;3.053190073;10
bvector;1024;clang++;-O2;94.10;3.048086087;11
bvector;1024;clang++;-O2;93.05;3.053469776;12
bvector;1024;clang++;-O2;93.66;3.071234065;13
bvector;1024;clang++;-O2;92.46;3.084304837;14
bvector;1024;clang++;-O2;92.36;3.076663520;15
bvector;1024;clang++;-O2;93.08;3.042309725;16
bvector;1024;clang++;-O2;93.65;3.070180167;17
bvector;1024;clang++;-O2;93.55;3.064947039;18
bvector;1024;clang++;-O2;92.28;3.083580093;19
bvector;1024;clang++;-O2;92.06;3.055199748;20
bvector;1024;clang++;-O2;93.29;3.071568440;21
bvector;1024;clang++;-O2;93.45;3.071167201;22
bvector;1024;clang++;-O2;92.62;3.084734890;23
bvector;1024;clang++;-O2;91.85;3.056913189;24
bvector;1024;clang++;-O2;93.41;3.067431411;25
bvector;1024;clang++;-O2;92.83;3.056364655;26
bvector;1024;clang++;-O2;93.53;3.069495137;27
bvector;1024;clang++;-O2;92.26;3.085081528;28
bvector;1024;clang++;-O2;93.59;3.070716859;29
bvector;1024;clang++;-O2;91.46;3.073281351;30
bvector;1024;clang++;-O2;92.72;3.081412442;31
bvector;1024;clang++;-O2;92.22;3.054233814;32
bvector;1024;clang++;-O2;92.71;3.081837817;33
bvector;1024;clang++;-O2;93.15;3.076059582;34
bvector;1024;clang++;-O2;91.95;3.056937154;35
bvector;1024;clang++;-O2;93.41;3.069564878;36
bvector;1024;clang++;-O2;92.66;3.085654768;37
bvector;1024;clang++;-O2;92.78;3.054451660;38
bvector;1024;clang++;-O2;92.94;3.051327032;39
bvector;1024;clang++;-O2;93.48;3.070261869;40
bvector;1024;clang++;-O2;91.34;3.064745954;41
bvector;1024;clang++;-O2;92.66;3.084914205;42
bvector;1024;clang++;-O2;92.69;3.056173317;43
bvector;1024;clang++;-O2;92.83;3.084660010;44
bvector;1024;clang++;-O2;92.52;3.053617201;45
bvector;1024;clang++;-O2;92.79;3.084670470;46
bvector;1024;clang++;-O2;93.86;3.069184296;47
bvector;1024;clang++;-O2;92.63;3.083609667;48
