make[1]: se entra en el directorio '/home/gustavo/src/papers/2024/energy/c++'
#program;length;compiler;opt;energy(J);time(s);run
cvector;1024;clang++;-O2;39,40;1,143887257;2
cvector;1024;clang++;-O2;39,52;1,124654834;3
cvector;1024;clang++;-O2;39,35;1,130554910;4
cvector;1024;clang++;-O2;39,96;1,156967122;5
cvector;1024;clang++;-O2;38,92;1,144460889;6
cvector;1024;clang++;-O2;39,87;1,125412631;7
cvector;1024;clang++;-O2;40,84;1,147508505;8
cvector;1024;clang++;-O2;39,24;1,132666226;9
cvector;1024;clang++;-O2;39,72;1,131562534;10
cvector;1024;clang++;-O2;39,39;1,133773436;11
cvector;1024;clang++;-O2;39,69;1,151777002;12
cvector;1024;clang++;-O2;39,05;1,149207870;13
cvector;1024;clang++;-O2;39,85;1,172427745;14
cvector;2048;clang++;-O2;81,80;2,418460549;0
cvector;2048;clang++;-O2;82,47;2,406386033;1
cvector;2048;clang++;-O2;82,68;2,417297364;2
cvector;2048;clang++;-O2;84,40;2,454374707;3
cvector;2048;clang++;-O2;82,92;2,435765990;4
cvector;2048;clang++;-O2;83,19;2,446343718;5
cvector;2048;clang++;-O2;83,34;2,451600201;6
cvector;2048;clang++;-O2;82,11;2,412930182;7
cvector;2048;clang++;-O2;82,59;2,438365748;8
cvector;2048;clang++;-O2;83,89;2,430581430;9
cvector;2048;clang++;-O2;82,54;2,424336921;10
cvector;2048;clang++;-O2;82,41;2,412228341;11
cvector;2048;clang++;-O2;83,77;2,452591153;12
cvector;2048;clang++;-O2;83,84;2,459192120;13
cvector;2048;clang++;-O2;82,32;2,425396811;14
string;512;clang++;-O2;17,91;0,508735336;0
string;512;clang++;-O2;17,23;0,504636015;1
string;512;clang++;-O2;17,66;0,504447102;2
string;512;clang++;-O2;17,87;0,506445096;3
string;512;clang++;-O2;17,14;0,504770527;4
string;512;clang++;-O2;17,22;0,502004146;5
string;512;clang++;-O2;17,16;0,502101408;6
string;512;clang++;-O2;17,18;0,503040533;7
string;512;clang++;-O2;17,20;0,501079107;8
string;512;clang++;-O2;17,30;0,501831213;9
