make[1]: se entra en el directorio '/home/gustavo/src/papers/2024/energy/c++'
#program;length;compiler;opt;energy(J);time(s);run
bvector;2048;clang++;-O2;263,06;8,319486875;8
bvector;2048;clang++;-O2;262,97;8,320140206;9
bvector;2048;clang++;-O2;262,85;8,312151114;10
bvector;2048;clang++;-O2;263,18;8,279303959;11
bvector;2048;clang++;-O2;263,42;8,279157295;12
bvector;2048;clang++;-O2;263,11;8,308680698;13
bvector;2048;clang++;-O2;262,39;8,295100184;14
cvector;512;clang++;-O2;18,24;0,581729840;0
cvector;512;clang++;-O2;18,07;0,575544108;1
cvector;512;clang++;-O2;18,03;0,577290573;2
cvector;512;clang++;-O2;18,21;0,578623063;3
cvector;512;clang++;-O2;18,17;0,579673607;4
cvector;512;clang++;-O2;18,18;0,576075361;5
cvector;512;clang++;-O2;18,11;0,580096978;6
cvector;512;clang++;-O2;17,98;0,575709107;7
cvector;512;clang++;-O2;18,05;0,579064198;8
cvector;512;clang++;-O2;18,12;0,578994417;9
cvector;512;clang++;-O2;18,17;0,582096535;10
cvector;512;clang++;-O2;18,18;0,580444538;11
cvector;512;clang++;-O2;18,21;0,578780918;12
cvector;512;clang++;-O2;18,12;0,581074065;13
cvector;512;clang++;-O2;18,22;0,578854876;14
cvector;1024;clang++;-O2;38,45;1,223948430;0
cvector;1024;clang++;-O2;38,57;1,225420992;1
cvector;1024;clang++;-O2;38,53;1,228041941;2
cvector;1024;clang++;-O2;38,37;1,225742102;3
cvector;1024;clang++;-O2;38,92;1,223429249;4
cvector;1024;clang++;-O2;38,34;1,222557159;5
cvector;1024;clang++;-O2;38,63;1,222423569;6
cvector;1024;clang++;-O2;38,51;1,221572328;7
cvector;1024;clang++;-O2;38,72;1,245007530;8
cvector;1024;clang++;-O2;38,63;1,223804360;9
cvector;1024;clang++;-O2;38,60;1,231920600;10
cvector;1024;clang++;-O2;38,46;1,223265693;11
cvector;1024;clang++;-O2;38,80;1,230893130;12
cvector;1024;clang++;-O2;38,67;1,229806219;13
cvector;1024;clang++;-O2;38,50;1,222311860;14
cvector;2048;clang++;-O2;81,56;2,585262318;0
cvector;2048;clang++;-O2;81,50;2,587929273;1
cvector;2048;clang++;-O2;81,79;2,600668434;2
cvector;2048;clang++;-O2;81,66;2,593768227;3
cvector;2048;clang++;-O2;81,60;2,590846415;4
cvector;2048;clang++;-O2;81,46;2,590335741;5
cvector;2048;clang++;-O2;81,82;2,597631707;6
cvector;2048;clang++;-O2;81,62;2,591548297;7
cvector;2048;clang++;-O2;81,43;2,582782833;8
cvector;2048;clang++;-O2;81,80;2,594936771;9
cvector;2048;clang++;-O2;81,09;2,585764066;10
cvector;2048;clang++;-O2;81,71;2,595564093;11
cvector;2048;clang++;-O2;81,68;2,596458014;12
cvector;2048;clang++;-O2;81,65;2,595603036;13
cvector;2048;clang++;-O2;81,32;2,587556036;14
string;512;clang++;-O2;16,98;0,543455281;0
string;512;clang++;-O2;16,97;0,541092184;1
string;512;clang++;-O2;16,79;0,542460482;2
string;512;clang++;-O2;16,89;0,542425977;3
string;512;clang++;-O2;16,86;0,542265027;4
string;512;clang++;-O2;16,75;0,543716860;5
string;512;clang++;-O2;16,79;0,543033973;6
string;512;clang++;-O2;16,79;0,543351607;7
string;512;clang++;-O2;16,88;0,542018345;8
string;512;clang++;-O2;16,96;0,542948053;9
string;512;clang++;-O2;16,88;0,541366718;10
string;512;clang++;-O2;16,94;0,544197268;11
string;512;clang++;-O2;17,00;0,543596324;12
string;512;clang++;-O2;16,82;0,542122279;13
string;512;clang++;-O2;16,87;0,543151783;14
string;1024;clang++;-O2;35,65;1,149337494;0
string;1024;clang++;-O2;35,74;1,146664358;1
string;1024;clang++;-O2;35,59;1,151240611;2
string;1024;clang++;-O2;35,73;1,150207680;3
string;1024;clang++;-O2;35,79;1,148460826;4
string;1024;clang++;-O2;35,52;1,148425951;5
string;1024;clang++;-O2;35,72;1,148164712;6
string;1024;clang++;-O2;35,83;1,149406303;7
string;1024;clang++;-O2;35,66;1,144462052;8
string;1024;clang++;-O2;35,75;1,148236406;9
string;1024;clang++;-O2;35,73;1,148091405;10
string;1024;clang++;-O2;35,55;1,147431942;11
string;1024;clang++;-O2;35,71;1,148388119;12
string;1024;clang++;-O2;35,90;1,150114136;13
string;1024;clang++;-O2;35,88;1,153219601;14
string;2048;clang++;-O2;74,95;2,425489828;0
string;2048;clang++;-O2;75,52;2,427421638;1
string;2048;clang++;-O2;75,86;2,432960872;2
string;2048;clang++;-O2;75,21;2,419517885;3
string;2048;clang++;-O2;75,13;2,419529368;4
string;2048;clang++;-O2;75,55;2,418099695;5
string;2048;clang++;-O2;75,41;2,416497811;6
string;2048;clang++;-O2;75,50;2,434785583;7
string;2048;clang++;-O2;75,10;2,424548379;8
string;2048;clang++;-O2;75,57;2,422239432;9
string;2048;clang++;-O2;74,94;2,427043251;10
string;2048;clang++;-O2;75,79;2,429990831;11
string;2048;clang++;-O2;75,78;2,429425664;12
string;2048;clang++;-O2;75,57;2,426619038;13
string;2048;clang++;-O2;75,42;2,421346203;14
bitset;512;clang++;-O3;61,39;1,974898418;0
bitset;512;clang++;-O3;61,03;1,973339444;1
bitset;512;clang++;-O3;61,43;1,981164801;2
bitset;512;clang++;-O3;60,85;1,962907276;3
bitset;512;clang++;-O3;61,13;1,976867349;4
bitset;512;clang++;-O3;61,39;1,968126151;5
bitset;512;clang++;-O3;61,49;1,976392851;6
bitset;512;clang++;-O3;61,00;1,963883420;7
bitset;512;clang++;-O3;61,51;1,977249533;8
bitset;512;clang++;-O3;61,14;1,968881924;9
bitset;512;clang++;-O3;60,96;1,967658186;10
bitset;512;clang++;-O3;61,20;1,976895000;11
bitset;512;clang++;-O3;61,17;1,976565524;12
bitset;512;clang++;-O3;61,03;1,973978459;13
bitset;512;clang++;-O3;61,18;1,972057578;14
bitset;1024;clang++;-O3;123,61;3,991410497;0
bitset;1024;clang++;-O3;123,49;3,994342477;1
bitset;1024;clang++;-O3;124,95;4,032785621;2
bitset;1024;clang++;-O3;124,06;4,003428720;3
bitset;1024;clang++;-O3;123,67;4,007132774;4
bitset;1024;clang++;-O3;123,93;3,992796276;5
bitset;1024;clang++;-O3;125,55;4,021907609;6
bitset;1024;clang++;-O3;124,07;3,992919193;7
bitset;1024;clang++;-O3;124,46;4,014338645;8
bitset;1024;clang++;-O3;124,72;4,023499521;9
bitset;1024;clang++;-O3;125,39;4,021315628;10
bitset;1024;clang++;-O3;125,11;4,017121577;11
bitset;1024;clang++;-O3;124,48;4,022767322;12
bitset;1024;clang++;-O3;124,67;4,026301558;13
bitset;1024;clang++;-O3;124,08;4,002095728;14
bitset;2048;clang++;-O3;254,17;8,192447591;0
bitset;2048;clang++;-O3;253,06;8,189494130;1
bitset;2048;clang++;-O3;253,90;8,191143343;2
bitset;2048;clang++;-O3;253,59;8,193372500;3
bitset;2048;clang++;-O3;253,37;8,187245697;4
bitset;2048;clang++;-O3;254,11;8,195384752;5
bitset;2048;clang++;-O3;253,19;8,154884642;6
bitset;2048;clang++;-O3;254,79;8,192791254;7
bitset;2048;clang++;-O3;253,80;8,163722883;8
bitset;2048;clang++;-O3;254,03;8,197702134;9
bitset;2048;clang++;-O3;252,79;8,138217504;10
bitset;2048;clang++;-O3;250,58;8,128010974;11
bitset;2048;clang++;-O3;253,00;8,181605283;12
bitset;2048;clang++;-O3;252,89;8,174857158;13
bitset;2048;clang++;-O3;251,77;8,123968628;14
bvector;512;clang++;-O3;62,72;1,979305223;0
bvector;512;clang++;-O3;63,40;1,993891551;1
bvector;512;clang++;-O3;63,26;1,994992650;2
bvector;512;clang++;-O3;62,83;1,991307270;3
bvector;512;clang++;-O3;62,70;1,983699328;4
bvector;512;clang++;-O3;62,68;1,988027419;5
bvector;512;clang++;-O3;63,18;1,986541662;6
bvector;512;clang++;-O3;62,76;1,993536357;7
bvector;512;clang++;-O3;63,63;1,994493617;8
bvector;512;clang++;-O3;63,71;1,996712685;9
bvector;512;clang++;-O3;63,72;1,996160082;10
bvector;512;clang++;-O3;63,33;1,995376658;11
bvector;512;clang++;-O3;62,83;1,983771733;12
bvector;512;clang++;-O3;63,29;1,997077557;13
bvector;512;clang++;-O3;62,69;1,992384664;14
bvector;1024;clang++;-O3;129,75;4,079370325;0
bvector;1024;clang++;-O3;128,09;4,062303801;1
bvector;1024;clang++;-O3;128,47;4,064591718;2
bvector;1024;clang++;-O3;128,50;4,071925348;3
bvector;1024;clang++;-O3;129,31;4,080396023;4
bvector;1024;clang++;-O3;128,91;4,077452360;5
bvector;1024;clang++;-O3;128,63;4,070666064;6
bvector;1024;clang++;-O3;128,57;4,052692042;7
bvector;1024;clang++;-O3;129,62;4,071654071;8
bvector;1024;clang++;-O3;128,65;4,075253328;9
bvector;1024;clang++;-O3;130,09;4,081760703;10
bvector;1024;clang++;-O3;129,56;4,075261073;11
bvector;1024;clang++;-O3;130,35;4,080658132;12
bvector;1024;clang++;-O3;129,93;4,081318917;13
bvector;1024;clang++;-O3;129,76;4,079041931;14
bvector;2048;clang++;-O3;262,85;8,324917159;0
bvector;2048;clang++;-O3;263,54;8,278948896;1
bvector;2048;clang++;-O3;263,47;8,286057596;2
bvector;2048;clang++;-O3;263,46;8,319819649;3
bvector;2048;clang++;-O3;263,22;8,320400726;4
bvector;2048;clang++;-O3;264,23;8,294738263;5
bvector;2048;clang++;-O3;264,89;8,302694335;6
bvector;2048;clang++;-O3;263,55;8,330827277;7
bvector;2048;clang++;-O3;263,41;8,324246616;8
bvector;2048;clang++;-O3;263,70;8,322785473;9
bvector;2048;clang++;-O3;265,86;8,322898605;10
bvector;2048;clang++;-O3;263,79;8,283328914;11
bvector;2048;clang++;-O3;263,99;8,296377497;12
bvector;2048;clang++;-O3;266,66;8,267076342;13
bvector;2048;clang++;-O3;265,80;8,333011991;14
cvector;512;clang++;-O3;18,24;0,579350252;0
cvector;512;clang++;-O3;18,19;0,579686571;1
cvector;512;clang++;-O3;18,18;0,578962036;2
cvector;512;clang++;-O3;18,13;0,578653159;3
cvector;512;clang++;-O3;18,29;0,580781697;4
cvector;512;clang++;-O3;18,36;0,583369926;5
