engine;pkg;cpu;sleep
minstd_rand;3.58;0.112164666;2.69
minstd_rand;3.70;0.112602605;2.74
minstd_rand;3.57;0.113385075;2.59
minstd_rand;3.84;0.114516658;2.84
minstd_rand;3.81;0.113957609;2.71
minstd_rand;3.89;0.115531071;2.74
minstd_rand;3.58;0.112075328;2.61
minstd_rand;3.71;0.114620833;2.73
minstd_rand;3.76;0.114636622;2.72
minstd_rand;3.66;0.114748221;2.71
minstd_rand;3.70;0.112343089;2.70
minstd_rand;3.71;0.114744696;2.73
minstd_rand;3.93;0.115118527;2.68
minstd_rand;3.66;0.115374296;2.72
minstd_rand;3.92;0.113969812;2.68
minstd_rand;3.86;0.114746358;2.77
minstd_rand;4.01;0.114558837;2.70
minstd_rand;3.84;0.113468841;2.68
minstd_rand;4.07;0.113115719;2.81
minstd_rand;3.82;0.115381369;2.76
minstd_rand;4.16;0.115288987;2.76
minstd_rand;3.65;0.112676435;3.11
minstd_rand;3.91;0.114837109;2.77
minstd_rand;3.81;0.113566866;2.70
minstd_rand;3.74;0.114023122;2.64
minstd_rand;4.00;0.127798465;3.01
minstd_rand;3.81;0.113511812;2.64
minstd_rand;3.90;0.114755505;2.68
minstd_rand;3.78;0.112659032;2.63
minstd_rand;3.90;0.115835610;2.77
minstd_rand;3.53;0.113852521;2.63
minstd_rand;3.67;0.115126932;2.69
minstd_rand;3.81;0.113601520;2.66
minstd_rand;3.65;0.114791063;2.67
minstd_rand;3.66;0.112779808;2.76
minstd_rand;3.86;0.114909625;2.75
minstd_rand;3.66;0.115197875;2.75
minstd_rand;3.76;0.114825817;2.77
minstd_rand;3.95;0.113696919;2.80
minstd_rand;3.88;0.116651042;2.80
minstd_rand;3.74;0.114654035;2.80
minstd_rand;3.86;0.115590532;2.76
minstd_rand;3.77;0.114793087;2.81
minstd_rand;3.99;0.115533065;2.77
minstd_rand;3.69;0.112816438;2.60
minstd_rand;3.60;0.114767828;2.64
minstd_rand;3.68;0.114664065;2.73
minstd_rand;3.66;0.114190005;2.65
minstd_rand;3.68;0.114737912;2.76
minstd_rand;3.73;0.115093900;2.71
minstd_rand;3.63;0.114469348;2.69
minstd_rand;3.61;0.114682699;2.71
minstd_rand;3.86;0.113132741;2.68
minstd_rand;3.90;0.112180064;2.58
minstd_rand;3.78;0.114899476;2.75
minstd_rand;3.97;0.112232021;2.65
minstd_rand;3.74;0.113171825;2.69
minstd_rand;4.14;0.116019033;2.78
minstd_rand;3.62;0.115298163;2.72
minstd_rand;3.87;0.114948427;2.66
minstd_rand;3.82;0.116022102;2.70
minstd_rand;4.08;0.113222489;2.68
mt19937;2.12;0.056652191;1.41
mt19937;2.14;0.055532130;1.47
mt19937;2.39;0.056528790;1.42
mt19937;2.24;0.055661042;1.50
mt19937;2.28;0.055825931;1.44
mt19937;2.25;0.054686815;1.47
mt19937;2.35;0.055459834;1.45
mt19937;2.30;0.056224820;1.42
