engine;pkg;cpu;avg
minstd_rand0;0.21;0.004678665;0.19
minstd_rand0;0.20;0.004822043;0.19
minstd_rand0;0.22;0.004644781;0.18
minstd_rand0;0.29;0.005968348;0.27
minstd_rand0;0.20;0.004848963;0.19
minstd_rand0;0.23;0.004823345;0.20
minstd_rand0;0.22;0.004635484;0.19
minstd_rand0;0.22;0.004815100;0.17
minstd_rand0;0.19;0.004650782;0.18
minstd_rand0;0.20;0.004649509;0.19
minstd_rand0;0.20;0.004625966;0.17
minstd_rand0;0.21;0.004664458;0.17
minstd_rand0;0.22;0.004695045;0.19
minstd_rand0;0.21;0.004784853;0.17
minstd_rand0;0.21;0.004908335;0.18
minstd_rand0;0.23;0.004720573;0.20
minstd_rand0;0.24;0.004726925;0.20
minstd_rand0;0.20;0.004724109;0.16
minstd_rand0;0.24;0.004693993;0.22
minstd_rand0;0.25;0.004730342;0.24
minstd_rand0;0.24;0.004693763;0.22
minstd_rand0;0.23;0.004704824;0.22
minstd_rand0;0.30;0.004759306;0.25
minstd_rand0;0.28;0.004924565;0.26
minstd_rand0;0.28;0.005026936;0.27
minstd_rand0;0.26;0.004658797;0.24
minstd_rand0;0.25;0.004712648;0.22
minstd_rand0;0.25;0.004729660;0.23
minstd_rand0;0.24;0.004679767;0.22
minstd_rand0;0.25;0.004740961;0.23
minstd_rand0;0.30;0.005482949;0.29
minstd_rand0;0.24;0.004698442;0.23
minstd_rand0;0.25;0.004781147;0.24
minstd_rand0;0.24;0.004748204;0.23
minstd_rand0;0.25;0.004655611;0.24
minstd_rand0;0.25;0.004643429;0.24
minstd_rand0;0.24;0.004679676;0.23
minstd_rand0;0.24;0.004681590;0.23
minstd_rand0;0.27;0.005064507;0.26
minstd_rand0;0.34;0.005334822;0.33
minstd_rand0;0.35;0.005049489;0.31
minstd_rand0;0.24;0.004666251;0.23
minstd_rand0;0.25;0.004687721;0.24
minstd_rand0;0.25;0.004775976;0.23
minstd_rand0;0.27;0.004905960;0.23
minstd_rand0;0.21;0.004637307;0.18
minstd_rand0;0.20;0.004766348;0.19
minstd_rand0;0.21;0.004652355;0.20
minstd_rand0;0.20;0.004655421;0.19
minstd_rand0;0.25;0.005735132;0.23
minstd_rand0;0.25;0.004698502;0.22
minstd_rand0;0.26;0.004747524;0.25
minstd_rand0;0.25;0.004724670;0.24
minstd_rand0;0.21;0.004756851;0.17
minstd_rand;0.21;0.004614575;0.17
minstd_rand;0.20;0.004711025;0.17
minstd_rand;0.20;0.004763824;0.19
minstd_rand;0.20;0.004655862;0.18
minstd_rand;0.20;0.004683073;0.17
minstd_rand;0.21;0.004743406;0.17
minstd_rand;0.20;0.004730181;0.16
minstd_rand;0.21;0.004588044;0.18
minstd_rand;0.20;0.004670249;0.17
minstd_rand;0.21;0.005346704;0.20
minstd_rand;0.22;0.004694745;0.20
minstd_rand;0.18;0.004684094;0.17
minstd_rand;0.21;0.004668284;0.17
minstd_rand;0.21;0.004875663;0.18
minstd_rand;0.25;0.006104493;0.23
minstd_rand;0.22;0.004777600;0.21
minstd_rand;0.21;0.004933581;0.20
minstd_rand;0.20;0.004810200;0.19
minstd_rand;0.20;0.004653077;0.19
minstd_rand;0.20;0.004864141;0.17
minstd_rand;0.20;0.004684275;0.18
minstd_rand;0.17;0.004722487;0.16
minstd_rand;0.20;0.004690076;0.18
minstd_rand;0.27;0.007926341;0.25
minstd_rand;0.20;0.004651785;0.18
minstd_rand;0.21;0.004598184;0.16
minstd_rand;0.24;0.005253901;0.19
minstd_rand;0.22;0.004716185;0.21
minstd_rand;0.21;0.004592854;0.17
minstd_rand;0.20;0.004690536;0.18
minstd_rand;0.21;0.004600919;0.18
minstd_rand;0.20;0.004594487;0.19
minstd_rand;0.22;0.004660301;0.21
minstd_rand;0.21;0.004733687;0.19
minstd_rand;0.22;0.004737264;0.20
minstd_rand;0.23;0.004733297;0.19
minstd_rand;0.20;0.004722457;0.18
minstd_rand;0.20;0.004894909;0.16
minstd_rand;0.21;0.004683553;0.16
minstd_rand;0.21;0.004584949;0.18
minstd_rand;0.21;0.004609014;0.17
minstd_rand;0.24;0.004732646;0.19
minstd_rand;0.24;0.004678043;0.18
minstd_rand;0.20;0.004635003;0.16
minstd_rand;0.22;0.004623101;0.17
minstd_rand;0.21;0.004567988;0.18
minstd_rand;0.21;0.004695907;0.18
minstd_rand;0.21;0.004588536;0.19
minstd_rand;0.19;0.004678123;0.18
minstd_rand;0.23;0.005209528;0.21
minstd_rand;0.20;0.004709222;0.17
minstd_rand;0.20;0.004715524;0.18
minstd_rand;0.21;0.004612490;0.18
minstd_rand;0.21;0.004740290;0.18
minstd_rand;0.21;0.004758454;0.17
minstd_rand;0.21;0.004706326;0.17
minstd_rand;0.20;0.004645092;0.18
minstd_rand;0.21;0.004590469;0.18
minstd_rand;0.24;0.005314073;0.18
minstd_rand;0.22;0.004626507;0.17
minstd_rand;0.21;0.004606280;0.18
minstd_rand;0.20;0.004711616;0.19
minstd_rand;0.20;0.004721916;0.19
minstd_rand;0.22;0.004727296;0.18
minstd_rand;0.20;0.004753385;0.19
minstd_rand;0.20;0.005025253;0.18
minstd_rand;0.20;0.004632067;0.17
