engine,pkg,cpu
knuth_b,0.37,0.010860687
knuth_b,0.35,0.010934856
knuth_b,0.27,0.010914637
knuth_b,0.27,0.010963409
knuth_b,0.28,0.010909117
knuth_b,0.29,0.010948491
knuth_b,0.25,0.010927782
knuth_b,0.28,0.010952318
knuth_b,0.28,0.010883169
knuth_b,0.28,0.010959942
knuth_b,0.29,0.011006138
knuth_b,0.29,0.010931890
knuth_b,0.28,0.010879692
knuth_b,0.28,0.010964411
knuth_b,0.28,0.010998966
knuth_b,0.28,0.010973487
knuth_b,0.25,0.010921511
knuth_b,0.29,0.010867460
knuth_b,0.28,0.010935316
knuth_b,0.28,0.010888749
minstd_rand0,0.13,0.004995642
minstd_rand0,0.15,0.004904652
minstd_rand0,0.13,0.005092983
minstd_rand0,0.14,0.004920852
minstd_rand0,0.14,0.005012062
minstd_rand0,0.16,0.004994219
minstd_rand0,0.18,0.004996022
minstd_rand0,0.15,0.004920721
minstd_rand0,0.13,0.004979782
minstd_rand0,0.12,0.004923627
minstd_rand0,0.13,0.004979621
minstd_rand0,0.10,0.004913067
minstd_rand0,0.13,0.004964564
minstd_rand0,0.13,0.004885556
minstd_rand0,0.13,0.004941430
minstd_rand0,0.14,0.004911023
minstd_rand0,0.13,0.004991344
minstd_rand0,0.13,0.004900774
minstd_rand0,0.13,0.004971216
minstd_rand0,0.15,0.004925430
minstd_rand0,0.13,0.004935769
minstd_rand0,0.13,0.004908399
minstd_rand0,0.13,0.005003988
minstd_rand0,0.14,0.004925220
minstd_rand0,0.13,0.004987256
minstd_rand0,0.13,0.004932805
minstd_rand0,0.14,0.004975574
minstd_rand0,0.14,0.004967348
minstd_rand0,0.13,0.004998697
minstd_rand0,0.13,0.004912266
minstd_rand0,0.13,0.004985121
minstd_rand0,0.13,0.004936400
minstd_rand0,0.13,0.004916724
minstd_rand0,0.13,0.004975323
minstd_rand0,0.13,0.004970704
minstd_rand0,0.14,0.005003125
minstd_rand0,0.13,0.004904772
minstd_rand0,0.13,0.005004278
minstd_rand0,0.19,0.005003646
minstd_rand0,0.16,0.004975875
minstd_rand0,0.14,0.004905143
minstd_rand0,0.13,0.004976145
minstd_rand0,0.13,0.004885596
minstd_rand0,0.13,0.005074669
minstd_rand0,0.13,0.004919178
minstd_rand0,0.10,0.004951639
minstd_rand0,0.13,0.004902738
minstd_rand0,0.13,0.005051646
minstd_rand0,0.13,0.004932373
minstd_rand0,0.14,0.004984240
minstd_rand0,0.13,0.004897358
minstd_rand0,0.13,0.004965395
minstd_rand0,0.14,0.004946730
minstd_rand0,0.13,0.005017091
minstd_rand0,0.13,0.004913508
minstd_rand0,0.13,0.004978219
minstd_rand0,0.10,0.004914691
minstd_rand0,0.13,0.005092913
minstd_rand0,0.13,0.004916654
minstd_rand0,0.14,0.004952992
minstd_rand0,0.11,0.004906034
minstd_rand0,0.13,0.004979010
minstd_rand0,0.13,0.004904441
minstd_rand0,0.13,0.004995651
minstd_rand0,0.11,0.004914379
minstd_rand0,0.13,0.004972027
minstd_rand0,0.14,0.004927103
minstd_rand0,0.14,0.004981545
minstd_rand0,0.13,0.004931963
minstd_rand0,0.13,0.004985472
minstd_rand0,0.13,0.004923818
minstd_rand0,0.18,0.004958422
minstd_rand0,0.15,0.004909621
minstd_rand0,0.14,0.004923146
minstd_rand0,0.12,0.004998327
minstd_rand0,0.13,0.004917656
minstd_rand0,0.14,0.004961497
minstd_rand0,0.10,0.004919459
minstd_rand0,0.13,0.004989199
minstd_rand0,0.13,0.004922034
minstd_rand0,0.13,0.004981885
minstd_rand0,0.14,0.004907347
minstd_rand0,0.10,0.004912316
minstd_rand0,0.15,0.004915933
minstd_rand0,0.14,0.004908899
minstd_rand0,0.14,0.004987366
minstd_rand0,0.14,0.004907927
minstd_rand0,0.14,0.004963832
