#program;length;compiler;opt;energy(J);time(s);seed
bitset;2048;clang++;-O2;249.76;8.195549324;16
bitset;2048;clang++;-O2;248.32;8.081927563;17
bitset;2048;clang++;-O2;250.98;8.116712921;18
bitset;2048;clang++;-O2;249.11;8.103209966;19
bitset;2048;clang++;-O2;250.71;8.166994639;20
bitset;2048;clang++;-O2;250.02;8.198498215;21
bitset;2048;clang++;-O2;251.46;8.168022450;22
bitset;2048;clang++;-O2;248.57;8.080786680;23
bitset;2048;clang++;-O2;249.97;8.108249354;24
bitset;2048;clang++;-O2;249.78;8.108942889;25
bitset;2048;clang++;-O2;249.59;8.187166568;26
bitset;2048;clang++;-O2;251.17;8.147753861;27
